lon_min, lon_max, lat_min, lat_max, depth_min, depth_max, m_min, m_max, rate, dispersion, mask
166.8,166.9,-46.8,-46.7,0.0,40.0,5.0,10.5,6.4799966368817461e-05,0.000000,1
166.8,166.9,-46.7,-46.6,0.0,40.0,5.0,10.5,7.3999961594019940e-05,0.000000,1
166.8,166.9,-46.6,-46.5,0.0,40.0,5.0,10.5,8.6899954898923411e-05,0.000000,1
166.8,166.9,-46.5,-46.4,0.0,40.0,5.0,10.5,9.8789948728016604e-05,0.000000,1
166.8,166.9,-46.4,-46.3,0.0,40.0,5.0,10.5,1.0839994374042921e-04,0.000000,1
166.8,166.9,-46.3,-46.2,0.0,40.0,5.0,10.5,1.2589993465793390e-04,0.000000,1
166.8,166.9,-46.2,-46.1,0.0,40.0,5.0,10.5,1.5189992116394093e-04,0.000000,1
166.8,166.9,-46.1,-46.0,0.0,40.0,5.0,10.5,1.5669991867274221e-04,0.000000,1
166.8,166.9,-46.0,-45.9,0.0,40.0,5.0,10.5,1.7109991119914608e-04,0.000000,1
166.8,166.9,-45.9,-45.8,0.0,40.0,5.0,10.5,2.0619989298225556e-04,0.000000,1
166.8,166.9,-45.8,-45.7,0.0,40.0,5.0,10.5,2.6909986033717245e-04,0.000000,1
166.8,166.9,-45.7,-45.6,0.0,40.0,5.0,10.5,3.6769980916379904e-04,0.000000,1
166.8,166.9,-45.6,-45.5,0.0,40.0,5.0,10.5,4.9829974138243429e-04,0.000000,1
166.8,166.9,-45.5,-45.4,0.0,40.0,5.0,10.5,7.2849962190869627e-04,0.000000,1
166.8,166.9,-45.4,-45.3,0.0,40.0,5.0,10.5,1.2139993699343270e-03,0.000000,1
166.8,166.9,-45.3,-45.2,0.0,40.0,5.0,10.5,1.6419991478024425e-03,0.000000,1
166.8,166.9,-45.2,-45.1,0.0,40.0,5.0,10.5,1.6119991633724341e-03,0.000000,1
166.8,166.9,-45.1,-45.0,0.0,40.0,5.0,10.5,1.0689994451892879e-03,0.000000,1
166.8,166.9,-45.0,-44.9,0.0,40.0,5.0,10.5,6.5429966041847631e-04,0.000000,1
166.8,166.9,-44.9,-44.8,0.0,40.0,5.0,10.5,4.1579978419991205e-04,0.000000,1
166.8,166.9,-44.8,-44.7,0.0,40.0,5.0,10.5,2.9569984653177964e-04,0.000000,1
166.8,166.9,-44.7,-44.6,0.0,40.0,5.0,10.5,2.1579988799985813e-04,0.000000,1
166.8,166.9,-44.6,-44.5,0.0,40.0,5.0,10.5,1.6139991623344348e-04,0.000000,1
166.9,167.0,-47.6,-47.5,0.0,40.0,5.0,10.5,3.1109983853918382e-05,0.000000,1
166.9,167.0,-47.5,-47.4,0.0,40.0,5.0,10.5,3.3599982561609049e-05,0.000000,1
166.9,167.0,-47.4,-47.3,0.0,40.0,5.0,10.5,3.6289981165499777e-05,0.000000,1
166.9,167.0,-47.3,-47.2,0.0,40.0,5.0,10.5,3.8889979816100474e-05,0.000000,1
166.9,167.0,-47.2,-47.1,0.0,40.0,5.0,10.5,4.1239978596451109e-05,0.000000,1
166.9,167.0,-47.1,-47.0,0.0,40.0,5.0,10.5,4.4089977117301876e-05,0.000000,1
166.9,167.0,-47.0,-46.9,0.0,40.0,5.0,10.5,4.7489975352702797e-05,0.000000,1
166.9,167.0,-46.9,-46.8,0.0,40.0,5.0,10.5,5.2179972918594060e-05,0.000000,1
166.9,167.0,-46.8,-46.7,0.0,40.0,5.0,10.5,5.7809969996625572e-05,0.000000,1
166.9,167.0,-46.7,-46.6,0.0,40.0,5.0,10.5,6.4959966285777493e-05,0.000000,1
166.9,167.0,-46.6,-46.5,0.0,40.0,5.0,10.5,7.5449960841470328e-05,0.000000,1
166.9,167.0,-46.5,-46.4,0.0,40.0,5.0,10.5,8.4189956305412696e-05,0.000000,1
166.9,167.0,-46.4,-46.3,0.0,40.0,5.0,10.5,9.2899951784925023e-05,0.000000,1
166.9,167.0,-46.3,-46.2,0.0,40.0,5.0,10.5,1.0639994477842865e-04,0.000000,1
166.9,167.0,-46.2,-46.1,0.0,40.0,5.0,10.5,1.2329993600733322e-04,0.000000,1
166.9,167.0,-46.1,-46.0,0.0,40.0,5.0,10.5,1.3539992972743647e-04,0.000000,1
166.9,167.0,-46.0,-45.9,0.0,40.0,5.0,10.5,1.5059992183864056e-04,0.000000,1
166.9,167.0,-45.9,-45.8,0.0,40.0,5.0,10.5,1.7709990808514769e-04,0.000000,1
166.9,167.0,-45.8,-45.7,0.0,40.0,5.0,10.5,2.2319988415926014e-04,0.000000,1
166.9,167.0,-45.7,-45.6,0.0,40.0,5.0,10.5,3.0609984113418243e-04,0.000000,1
166.9,167.0,-45.6,-45.5,0.0,40.0,5.0,10.5,4.3199977579211639e-04,0.000000,1
166.9,167.0,-45.5,-45.4,0.0,40.0,5.0,10.5,6.1019968330636436e-04,0.000000,1
166.9,167.0,-45.4,-45.3,0.0,40.0,5.0,10.5,9.9319948452946771e-04,0.000000,1
166.9,167.0,-45.3,-45.2,0.0,40.0,5.0,10.5,1.3359993066163599e-03,0.000000,1
166.9,167.0,-45.2,-45.1,0.0,40.0,5.0,10.5,1.4329992562733859e-03,0.000000,1
166.9,167.0,-45.1,-45.0,0.0,40.0,5.0,10.5,1.1439994062643081e-03,0.000000,1
166.9,167.0,-45.0,-44.9,0.0,40.0,5.0,10.5,7.3359961926179769e-04,0.000000,1
166.9,167.0,-44.9,-44.8,0.0,40.0,5.0,10.5,4.7739975222952865e-04,0.000000,1
166.9,167.0,-44.8,-44.7,0.0,40.0,5.0,10.5,3.4059982322869173e-04,0.000000,1
166.9,167.0,-44.7,-44.6,0.0,40.0,5.0,10.5,2.4429987320836582e-04,0.000000,1
166.9,167.0,-44.6,-44.5,0.0,40.0,5.0,10.5,1.8449990424454970e-04,0.000000,1
